# ich head tail
0 0 503
1 504 1007
2 1008 1511
3 1512 2015
4 2016 2519
5 2520 3023
6 3024 3527
7 3528 4031
8 4032 4535
9 4536 5039
10 5040 5543
11 5544 6047
12 6048 6551
13 6552 7055
14 7056 7559
15 7560 8063
16 8064 8567
17 8568 9071
18 9072 9575
19 9576 10079
20 10080 10583
21 10584 11087
22 11088 11591
23 11592 12095
24 12096 12599
25 12600 13103
26 13104 13607
27 13608 14111
28 14112 14615
29 14616 15119
30 15120 15623
31 15624 16127
32 16128 16631
33 16632 17135
34 17136 17639
35 17640 18143
36 18144 18647
37 18648 19151
38 19152 19655
39 19656 20159
40 20160 20916
41 20917 21673
42 21674 22430
43 22431 23187
44 23188 23944
45 23945 24701
46 24702 25458
47 25459 26215
48 26216 26972
49 26973 27729
50 27730 28486
51 28487 29243
52 29244 30000
53 30001 30757
54 30758 31514
55 31515 32271
56 32272 33028
57 33029 33785
58 33786 34542
59 34543 35299
60 35300 36056
61 36057 36813
62 36814 37570
63 37571 38327
64 38328 39084
65 39085 39841
66 39842 40598
