# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
       1            2.398                1.000            2.398            4080
       2            3.467                1.446            6.934            4040
       3            4.349                1.814           13.047            4000
       4            5.152                2.149           20.610            3960
       5            5.835                2.433           29.174            3920
       6            6.393                2.666           38.357            3880
       7            6.905                2.880           48.333            3840
       8            7.340                3.061           58.723            3800
       9            7.707                3.214           69.362            3760
      10            8.021                3.345           80.209            3720
      11            8.293                3.458           91.219            3680
      12            8.522                3.554          102.262            3640
      13            8.730                3.641          113.496            3600
      14            8.917                3.719          124.841            3560
      15            9.088                3.790          136.318            3520
      16            9.238                3.852          147.802            3480
      17            9.372                3.909          159.332            3440
      18            9.501                3.962          171.025            3400
      19            9.627                4.015          182.916            3360
      20            9.741                4.063          194.827            3320
      21            9.846                4.106          206.773            3280
      22            9.946                4.148          218.812            3240
      23           10.041                4.188          230.949            3200
      24           10.132                4.225          243.169            3160
      25           10.218                4.261          255.444            3120
      26           10.294                4.293          267.639            3080
      27           10.363                4.322          279.792            3040
      28           10.426                4.348          291.923            3000
      29           10.481                4.371          303.948            2960
      30           10.527                4.390          315.798            2920
      31           10.567                4.407          327.586            2880
      32           10.601                4.421          339.230            2840
      33           10.632                4.434          350.848            2800
      34           10.659                4.445          362.413            2760
      35           10.680                4.454          373.801            2720
      36           10.698                4.461          385.114            2680
      37           10.717                4.470          396.539            2640
      38           10.732                4.476          407.808            2600
      39           10.745                4.481          419.041            2560
      40           10.761                4.488          430.440            2520
      41           10.776                4.494          441.829            2480
      42           10.792                4.501          453.273            2440
      43           10.813                4.509          464.957            2400
      44           10.831                4.517          476.552            2360
      45           10.846                4.523          488.057            2320
      46           10.867                4.532          499.905            2280
      47           10.893                4.543          511.952            2240
      48           10.920                4.554          524.148            2200
      49           10.954                4.568          536.745            2160
      50           10.997                4.586          549.830            2120
      51           11.046                4.607          563.360            2080
      52           11.098                4.628          577.118            2040
      53           11.155                4.652          591.224            2000
      54           11.212                4.676          605.471            1960
      55           11.270                4.700          619.862            1920
      56           11.332                4.726          634.570            1880
      57           11.393                4.751          649.396            1840
      58           11.453                4.777          664.298            1800
      59           11.510                4.800          679.085            1760
      60           11.562                4.822          693.700            1720
      61           11.615                4.844          708.534            1680
      62           11.671                4.867          723.615            1640
      63           11.726                4.890          738.734            1600
      64           11.785                4.915          754.231            1560
      65           11.845                4.940          769.937            1520
      66           11.906                4.965          785.814            1480
      67           11.972                4.993          802.157            1440
      68           12.044                5.023          819.025            1400
      69           12.119                5.054          836.180            1360
      70           12.195                5.086          853.659            1320
      71           12.275                5.119          871.531            1280
      72           12.355                5.152          889.547            1240
      73           12.436                5.186          907.841            1200
      74           12.512                5.218          925.857            1160
      75           12.586                5.249          943.936            1120
      76           12.653                5.277          961.617            1080
      77           12.713                5.302          978.911            1040
      78           12.764                5.323          995.577            1000
      79           12.811                5.343         1012.084             960
      80           12.851                5.359         1028.092             920
      81           12.892                5.377         1044.292             880
      82           12.952                5.402         1062.078             840
      83           13.015                5.428         1080.273             800
      84           13.081                5.455         1098.804             760
      85           13.145                5.482         1117.294             720
      86           13.213                5.510         1136.298             680
      87           13.276                5.536         1154.978             640
      88           13.347                5.566         1174.548             600
      89           13.414                5.594         1193.845             560
      90           13.486                5.624         1213.734             520
      91           13.557                5.654         1233.723             480
      92           13.638                5.688         1254.717             440
      93           13.693                5.711         1273.493             400
      94           13.739                5.730         1291.452             360
      95           13.733                5.727         1304.681             320
      96           13.703                5.715         1315.527             280
      97           13.655                5.695         1324.562             240
      98           13.581                5.664         1330.923             200
      99           13.509                5.634         1337.423             160
     100           13.438                5.604         1343.761             120
     101           13.405                5.590         1353.890              80
     102           13.383                5.581         1365.104              40
