# ich head tail
0 0 153
1 154 307
2 308 461
3 462 615
4 616 769
5 770 923
6 924 1077
7 1078 1231
8 1232 1385
9 1386 1539
10 1540 1693
11 1694 1847
12 1848 2001
13 2002 2155
14 2156 2309
15 2310 2463
16 2464 2617
17 2618 2771
18 2772 2925
19 2926 3079
20 3080 3233
21 3234 3387
22 3388 3541
23 3542 3695
24 3696 3849
25 3850 4003
26 4004 4157
27 4158 4311
28 4312 4465
29 4466 4619
30 4620 4773
31 4774 4927
32 4928 5081
33 5082 5235
34 5236 5389
35 5390 5543
36 5544 5697
37 5698 5851
38 5852 6005
39 6006 6159
