#./odf_intra.dat
# odfintra Version: intra-chain ODF with P2 and pxy
# 4080 vectors per frame, 102 vectors per chain, 40 chains
# P1(n) = <u(0)u(n)> = <costhe>  
# P2(n) = 1/2*<3*(u(0)u(n))^2 - 1> = 1/2<3*costhe^2 - 1> 2nd Legendre polynomial 
# P2 values +1: Parallel, -0.5: orthogonal, 0: No correlation # u(0) u(n) are unit vectors at distance n bonds.  
# n  P1  P2  pxy  pxy2  xx yy zz  x4 y4 z4  xxyy xxzz yyzz
# frames 1
 0 1.0 1.0 1.0 1.0  1.0 1.0 1.0  1.0 1.0 1.0  1.0 1.0 1.0
1 0.44431028 -0.19126412 0.00685184 1.26656 0.138816 0.150922 0.154572 0.0899641 0.0949886 0.0966253 -0.0127368 -0.0125342 -0.012606
2 0.32607845 0.075572537 0.00621512 1.36467 0.0974462 0.112919 0.115713 0.109955 0.119665 0.119569 0.00404049 0.00629656 0.00692566
3 0.30161708 -0.12773107 0.00107818 1.29134 0.0937945 0.103671 0.104152 0.0953819 0.10182 0.104976 -0.008092 -0.00858367 -0.0103234
4 0.20752843 0.080859852 0.00522827 1.37645 0.0658455 0.0694486 0.0722343 0.111772 0.120671 0.118329 0.00633835 0.00575544 0.00613991
5 0.12886833 -0.031461459 -0.0261191 1.29606 0.0415754 0.0433 0.0439929 0.104087 0.110906 0.113038 -0.00254369 -0.00284821 -0.00244456
6 0.16446417 0.079372045 -0.0145889 1.38767 0.0479174 0.0601982 0.0563486 0.111199 0.115456 0.120083 0.00572904 0.00700797 0.00701786
7 0.088326534 -0.039337539 -0.0383816 1.31779 0.0225177 0.0350179 0.030791 0.10313 0.109535 0.112519 -0.00273319 -0.00378978 -0.00251519
8 0.050494197 0.00049138813 -0.0502439 1.36703 0.00935488 0.0239691 0.0171703 0.102863 0.111554 0.114418 0.000941859 0.000447477 0.00102381
9 0.041899794 -0.01375603 -0.0129034 1.33554 0.00736952 0.0199207 0.0146096 0.106425 0.111834 0.112657 -0.00112988 -0.00114745 -0.00109967
10 0.028344253 0.01038574 -0.0240588 1.35192 0.00384213 0.0129173 0.0115848 0.104509 0.111232 0.115417 0.000702622 0.000646017 0.00320064
11 0.011752782 0.0016183458 -0.0523361 1.30901 0.00134718 0.00375209 0.00665352 0.107101 0.112926 0.115033 0.000471148 -0.000797348 1.875e-06
12 0.032912621 0.0073769561 -0.0649286 1.33593 0.00976301 0.0156187 0.00753093 0.104672 0.114439 0.116247 0.00140045 -0.000260679 0.000307156
13 0.025213135 0.0075751242 -0.0502659 1.31396 0.00948199 0.0084719 0.00725925 0.108886 0.113573 0.117343 -0.000296803 -0.00030318 -0.000109759
14 0.024011434 -0.0052968799 -0.0424574 1.36657 0.009098 0.00464906 0.0102644 0.105109 0.111153 0.110948 -0.000232268 0.00115899 0.000368932
15 0.021870661 0.00067051401 -0.0334038 1.32311 0.00890476 0.00542146 0.00754445 0.106978 0.111813 0.117673 -0.000168527 0.000365564 -0.00153879
16 0.019010197 0.0020765149 -0.0230124 1.34189 0.00484061 0.00717009 0.00699949 0.104806 0.112071 0.110855 0.0015836 0.00030349 0.0016055
17 0.026457439 0.0016880281 -0.0100132 1.34667 0.00862804 0.00947108 0.00835832 0.106599 0.112196 0.114541 -0.000334831 0.00081284 8.34495e-05
18 0.029599536 -6.2383782e-05 -0.00285766 1.31453 0.0123511 0.0118448 0.00540367 0.108303 0.113493 0.113967 0.00200633 -0.00228719 -0.000954504
19 0.020945135 0.00068704177 -0.0286895 1.36209 0.00597031 0.015541 -0.000566135 0.107841 0.113893 0.115442 -0.000988504 -0.000889839 0.000186117
20 0.013336757 0.015309367 0.0192297 1.31551 0.00221847 0.00745041 0.00366787 0.109792 0.113539 0.11531 0.00182429 0.000431775 0.000193075
21 0.017032627 -0.0053559198 -0.00561639 1.36474 -0.00104837 0.0131085 0.00497251 0.104524 0.111979 0.112064 -0.000430804 -0.000304601 0.00133346
22 0.026899271 0.0076441375 -0.0352005 1.33777 0.00163099 0.0221706 0.00309771 0.105247 0.112916 0.113505 -0.000934924 0.00253164 0.00178421
23 0.022098775 0.0026171012 -0.0493853 1.33816 0.0042464 0.0144661 0.00338624 0.108246 0.112773 0.114241 0.000903915 -0.00108919 9.43761e-05
24 0.0086978725 -0.0082895649 -0.0414081 1.28233 -0.00490738 0.0124037 0.0012016 0.105155 0.112654 0.113764 -0.00141923 -5.5025e-05 -0.000408503
25 0.018586092 -0.0026278949 -0.0625779 1.35367 -0.00477534 0.0217242 0.00163719 0.105958 0.112414 0.115575 -0.000165411 -0.00108692 6.98089e-05
26 0.0095964182 -0.00086664227 -0.0244641 1.3284 -0.00791775 0.00622974 0.0112844 0.107873 0.113402 0.114395 -0.000171003 0.000956061 -0.00224237
27 0.011755134 0.015837335 -0.0659189 1.33112 -0.0105902 0.0126912 0.00965412 0.109616 0.113306 0.115185 0.00221507 0.000247701 0.000429294
28 0.016318857 -0.016604109 -0.0778918 1.32524 -0.0159248 0.0185377 0.013706 0.101717 0.111806 0.113288 -0.00360436 0.00168761 -0.000357199
